Country or Area	Geographical subregion	Continental region
Algeria	Northern Africa	Africa
Egypt	Northern Africa	Africa
Libya	Northern Africa	Africa
Morocco	Northern Africa	Africa
Sudan	Northern Africa	Africa
Tunisia	Northern Africa	Africa
Western Sahara (disputed)	Northern Africa	Africa
British Indian Ocean Territory	Eastern Africa	Africa
Burundi	Eastern Africa	Africa
Comoros	Eastern Africa	Africa
Djibouti	Eastern Africa	Africa
Eritrea	Eastern Africa	Africa
Ethiopia	Eastern Africa	Africa
French Southern Territories	Eastern Africa	Africa
Kenya	Eastern Africa	Africa
Madagascar	Eastern Africa	Africa
Malawi	Eastern Africa	Africa
Mauritius	Eastern Africa	Africa
Mayotte	Eastern Africa	Africa
Mozambique	Eastern Africa	Africa
Réunion	Eastern Africa	Africa
Rwanda	Eastern Africa	Africa
Seychelles	Eastern Africa	Africa
Somalia	Eastern Africa	Africa
South Sudan	Eastern Africa	Africa
Uganda	Eastern Africa	Africa
United Republic of Tanzania	Eastern Africa	Africa
Zambia	Eastern Africa	Africa
Zimbabwe	Eastern Africa	Africa
Angola	Middle Africa	Africa
Cameroon	Middle Africa	Africa
Central African Republic	Middle Africa	Africa
Chad	Middle Africa	Africa
Congo [Republic of the Congo]	Middle Africa	Africa
Democratic Republic of the Congo [DR Congo]	Middle Africa	Africa
Equatorial Guinea	Middle Africa	Africa
Gabon	Middle Africa	Africa
Sao Tome and Principe	Middle Africa	Africa
Botswana	Southern Africa	Africa
Eswatini [Swaziland]	Southern Africa	Africa
Lesotho	Southern Africa	Africa
Namibia	Southern Africa	Africa
South Africa	Southern Africa	Africa
Benin	Western Africa	Africa
Burkina Faso	Western Africa	Africa
Cabo Verde [Cape Verde]	Western Africa	Africa
Côte d'Ivoire [Ivory Coast]	Western Africa	Africa
Gambia	Western Africa	Africa
Ghana	Western Africa	Africa
Guinea	Western Africa	Africa
Guinea-Bissau	Western Africa	Africa
Liberia	Western Africa	Africa
Mali	Western Africa	Africa
Mauritania	Western Africa	Africa
Niger	Western Africa	Africa
Nigeria	Western Africa	Africa
Saint Helena [Saint Helena, Ascension and Tristan da Cunha]	Western Africa	Africa
Senegal	Western Africa	Africa
Sierra Leone	Western Africa	Africa
Togo	Western Africa	Africa
Anguilla	Caribbean	Americas
Antigua and Barbuda	Caribbean	Americas
Aruba	Caribbean	Americas
Bahamas	Caribbean	Americas
Barbados	Caribbean	Americas
Bonaire, Sint Eustatius and Saba [Caribbean Netherlands]	Caribbean	Americas
British Virgin Islands	Caribbean	Americas
Cayman Islands	Caribbean	Americas
Cuba	Caribbean	Americas
Curaçao	Caribbean	Americas
Dominica	Caribbean	Americas
Dominican Republic	Caribbean	Americas
Grenada	Caribbean	Americas
Guadeloupe	Caribbean	Americas
Haiti	Caribbean	Americas
Jamaica	Caribbean	Americas
Martinique	Caribbean	Americas
Montserrat	Caribbean	Americas
Puerto Rico	Caribbean	Americas
Saint Barthélemy	Caribbean	Americas
Saint Kitts and Nevis	Caribbean	Americas
Saint Lucia	Caribbean	Americas
Saint Martin (French part)	Caribbean	Americas
Saint Vincent and the Grenadines	Caribbean	Americas
Sint Maarten (Dutch part)	Caribbean	Americas
Trinidad and Tobago	Caribbean	Americas
Turks and Caicos Islands	Caribbean	Americas
United States Virgin Islands	Caribbean	Americas
Belize	Central America	Americas
Costa Rica	Central America	Americas
El Salvador	Central America	Americas
Guatemala	Central America	Americas
Honduras	Central America	Americas
Mexico	Central America	Americas
Nicaragua	Central America	Americas
Panama	Central America	Americas
Argentina	South America	Americas
Bolivia (Plurinational State of)	South America	Americas
Bouvet Island	South America	Americas
Brazil	South America	Americas
Chile	South America	Americas
Colombia	South America	Americas
Ecuador	South America	Americas
Falkland Islands (Malvinas)	South America	Americas
French Guiana	South America	Americas
Guyana	South America	Americas
Paraguay	South America	Americas
Peru	South America	Americas
South Georgia and the South Sandwich Islands	South America	Americas
Suriname	South America	Americas
Uruguay	South America	Americas
Venezuela (Bolivarian Republic of)	South America	Americas
Bermuda	Northern America	Americas
Canada	Northern America	Americas
Greenland	Northern America	Americas
Saint Pierre and Miquelon	Northern America	Americas
United States of America	Northern America	Americas
Antarctica	—	Antarctica
Kazakhstan	Central Asia	Asia
Kyrgyzstan	Central Asia	Asia
Tajikistan	Central Asia	Asia
Turkmenistan	Central Asia	Asia
Uzbekistan	Central Asia	Asia
China	Eastern Asia	Asia
China, Hong Kong Special Administrative Region	Eastern Asia	Asia
China, Macao Special Administrative Region	Eastern Asia	Asia
Democratic People's Republic of Korea [North Korea]	Eastern Asia	Asia
Japan	Eastern Asia	Asia
Mongolia	Eastern Asia	Asia
Republic of Korea [South Korea]	Eastern Asia	Asia
Brunei Darussalam	South-eastern Asia	Asia
Cambodia	South-eastern Asia	Asia
Indonesia	South-eastern Asia	Asia
Lao People's Democratic Republic	South-eastern Asia	Asia
Malaysia	South-eastern Asia	Asia
Myanmar [Burma]	South-eastern Asia	Asia
Philippines	South-eastern Asia	Asia
Singapore	South-eastern Asia	Asia
Thailand	South-eastern Asia	Asia
Timor-Leste [East Timor]	South-eastern Asia	Asia
Viet Nam	South-eastern Asia	Asia
Islamic Republic of Afghanistan	Southern Asia	Asia
Bangladesh	Southern Asia	Asia
Bhutan	Southern Asia	Asia
India	Southern Asia	Asia
Iran (Islamic Republic of)	Southern Asia	Asia
Maldives	Southern Asia	Asia
Nepal	Southern Asia	Asia
Pakistan	Southern Asia	Asia
Sri Lanka	Southern Asia	Asia
Armenia	Western Asia	Asia
Azerbaijan	Western Asia	Asia
Bahrain	Western Asia	Asia
Cyprus	Western Asia	Asia
Georgia	Western Asia	Asia
Iraq	Western Asia	Asia
Israel	Western Asia	Asia
Jordan	Western Asia	Asia
Kuwait	Western Asia	Asia
Lebanon	Western Asia	Asia
Oman	Western Asia	Asia
Qatar	Western Asia	Asia
Saudi Arabia	Western Asia	Asia
State of Palestine	Western Asia	Asia
Syrian Arab Republic	Western Asia	Asia
Türkiye	Western Asia	Asia
United Arab Emirates	Western Asia	Asia
Yemen	Western Asia	Asia
Belarus	Eastern Europe	Europe
Bulgaria	Eastern Europe	Europe
Czechia [Czech Republic]	Eastern Europe	Europe
Hungary	Eastern Europe	Europe
Poland	Eastern Europe	Europe
Republic of Moldova	Eastern Europe	Europe
Romania	Eastern Europe	Europe
Russian Federation	Eastern Europe	Europe
Slovakia	Eastern Europe	Europe
Ukraine	Eastern Europe	Europe
Åland Islands	Northern Europe	Europe
Denmark	Northern Europe	Europe
Estonia	Northern Europe	Europe
Faroe Islands	Northern Europe	Europe
Finland	Northern Europe	Europe
Guernsey	Northern Europe	Europe
Iceland	Northern Europe	Europe
Ireland	Northern Europe	Europe
Isle of Man	Northern Europe	Europe
Jersey	Northern Europe	Europe
Latvia	Northern Europe	Europe
Lithuania	Northern Europe	Europe
Norway	Northern Europe	Europe
Svalbard and Jan Mayen Islands	Northern Europe	Europe
Sweden	Northern Europe	Europe
United Kingdom of Great Britain and Northern Ireland	Northern Europe	Europe
Albania	Southern Europe	Europe
Andorra	Southern Europe	Europe
Bosnia and Herzegovina	Southern Europe	Europe
Croatia	Southern Europe	Europe
Gibraltar	Southern Europe	Europe
Greece	Southern Europe	Europe
Holy See [Vatican City]	Southern Europe	Europe
Italy	Southern Europe	Europe
Malta	Southern Europe	Europe
Montenegro	Southern Europe	Europe
North Macedonia	Southern Europe	Europe
Portugal	Southern Europe	Europe
San Marino	Southern Europe	Europe
Serbia	Southern Europe	Europe
Slovenia	Southern Europe	Europe
Spain	Southern Europe	Europe
Austria	Western Europe	Europe
Belgium	Western Europe	Europe
France [French Republic]	Western Europe	Europe
Germany	Western Europe	Europe
Liechtenstein	Western Europe	Europe
Luxembourg	Western Europe	Europe
Monaco	Western Europe	Europe
Netherlands	Western Europe	Europe
Switzerland	Western Europe	Europe
Australia	Australia and New Zealand	Oceania
Christmas Island	Australia and New Zealand	Oceania
Cocos (Keeling) Islands	Australia and New Zealand	Oceania
Heard Island and McDonald Islands	Australia and New Zealand	Oceania
New Zealand	Australia and New Zealand	Oceania
Norfolk Island	Australia and New Zealand	Oceania
Fiji	Melanesia	Oceania
New Caledonia	Melanesia	Oceania
Papua New Guinea	Melanesia	Oceania
Solomon Islands	Melanesia	Oceania
Vanuatu	Melanesia	Oceania
Guam	Micronesia	Oceania
Kiribati	Micronesia	Oceania
Marshall Islands	Micronesia	Oceania
Micronesia (Federated States of)	Micronesia	Oceania
Nauru	Micronesia	Oceania
Northern Mariana Islands	Micronesia	Oceania
Palau	Micronesia	Oceania
United States Minor Outlying Islands	Micronesia	Oceania
American Samoa	Polynesia	Oceania
Cook Islands	Polynesia	Oceania
French Polynesia	Polynesia	Oceania
Niue	Polynesia	Oceania
Pitcairn [Pitcairn Islands]	Polynesia	Oceania
Samoa	Polynesia	Oceania
Tokelau	Polynesia	Oceania
Tonga	Polynesia	Oceania
Tuvalu	Polynesia	Oceania
Wallis and Futuna Islands	Polynesia	Oceania
Country or Area	Geographical subregion	Continental region
Taiwan Province of China  [Taiwan][note 3]	Eastern Asia	Asia
Kosovo	Southern Europe	Europe
Country or Area	Geographical subregion	Continental region
Channel Islands	Northern Europe	Europe
Sark	Northern Europe	Europe
